Designator,Mid X,Mid Y,Rotation,Layer
220R,127.0875,-43.25,0.0,top
BOOT,162.92,-49.97,270.0,top
C1,115.75,-56.075,0.0,top
C2,112.49,-54.12,270.0,top
D1,135.2,-42.2408,45.0,top
D10,138.4,-47.4408,45.0,top
D11,138.4,-50.0408,45.0,top
D12,138.4,-52.6408,45.0,top
D13,138.4,-55.2408,45.0,top
D14,138.4,-57.8408,45.0,top
D15,141.6,-42.241,45.0,top
D16,141.6,-44.841,45.0,top
D17,141.6,-47.4408,45.0,top
D18,141.6,-50.0408,45.0,top
D19,141.6,-52.6408,45.0,top
D2,135.2,-44.8408,45.0,top
D20,141.6,-55.2408,45.0,top
D21,141.6,-57.8408,45.0,top
D22,144.8,-42.241,45.0,top
D23,144.8,-44.841,45.0,top
D24,144.8,-47.441,45.0,top
D25,144.8,-50.0408,45.0,top
D26,144.8,-52.6408,45.0,top
D27,144.8,-55.2408,45.0,top
D28,144.8,-57.8408,45.0,top
D29,148.0,-42.2408,45.0,top
D3,135.2,-47.4408,45.0,top
D30,148.0,-44.841,45.0,top
D31,148.0,-47.4408,45.0,top
D32,148.0,-50.0408,45.0,top
D33,148.0,-52.6408,45.0,top
D34,148.0,-55.2408,45.0,top
D35,148.0,-57.8408,45.0,top
D36,151.2,-42.2408,45.0,top
D37,151.2,-44.8408,45.0,top
D38,151.2,-47.4408,45.0,top
D39,151.2,-50.0408,45.0,top
D4,135.2,-50.0408,45.0,top
D40,151.2,-52.6408,45.0,top
D41,151.2,-55.2408,45.0,top
D42,151.2,-57.8408,45.0,top
D43,154.4,-42.2408,45.0,top
D44,154.4,-44.8408,45.0,top
D45,154.4,-47.4408,45.0,top
D46,154.4,-50.0408,45.0,top
D47,154.4,-52.6408,45.0,top
D48,154.4,-55.2408,45.0,top
D49,154.4,-57.8408,45.0,top
D5,135.2,-52.6408,45.0,top
D50,157.600141,-42.241089,45.0,top
D51,157.693877,-44.868101,45.0,top
D52,157.693877,-47.468101,45.0,top
D53,157.693391,-50.18077,45.0,top
D54,157.693391,-52.78077,45.0,top
D55,157.693391,-55.38077,45.0,top
D56,157.693391,-57.98077,45.0,top
D6,135.2,-55.2408,45.0,top
D7,135.2,-57.8408,45.0,top
D8,138.4,-42.2408,45.0,top
D9,138.4,-44.8408,45.0,top
J1,103.25,-50.05,270.0,top
R1,162.92,-55.745,90.0,top
R3,127.0875,-45.25,180.0,top
R4,127.0875,-47.25,180.0,top
R5,127.0875,-49.25,180.0,top
R6,127.0875,-51.25,180.0,top
R7,127.0875,-53.25,180.0,top
R8,127.0875,-55.25,180.0,top
R9,127.0875,-57.25,180.0,top
U1,117.25,-50.045,90.0,top
